Impact_ID,Impact,ImpactArea_ID,ImpactAreas,AreaDefinition,ImpactTopicID,ImpactTopics,ImpactTopicDefinition,MainSDGsEquivalences1,MainSDGsEquivalences2
SOCIALneedsofindividuals,SOCIAL (needs of individuals),INTEGRITYSECURITYOFPERSON,INTEGRITY & SECURITY OF PERSON,"Population’s ability (read as ability of the person) to enjoy freedom from injury to the body and mind; freedom from torture and cruel, inhuman or degrading treatment or punishment; freedom from slavery and servitude; freedom from forced displacement from conflicts or climate change/natural disasters. It also includes data security, data privacy and protection.
Source:
United Nations General Assembly, Universal Declaration of Human Rights,
United Nations Human Rights Committee, United Nations Development
Group ",Conflict,Conflict,"Population's ability to live free from war, conflict and persecution. Source: UNHCR",16,
SOCIALneedsofindividuals,SOCIAL (needs of individuals),INTEGRITYSECURITYOFPERSON,INTEGRITY & SECURITY OF PERSON,"Population’s ability (read as ability of the person) to enjoy freedom from injury to the body and mind; freedom from torture and cruel, inhuman or degrading treatment or punishment; freedom from slavery and servitude; freedom from forced displacement from conflicts or climate change/natural disasters. It also includes data security, data privacy and protection.
Source:
United Nations General Assembly, Universal Declaration of Human Rights,
United Nations Human Rights Committee, United Nations Development
Group ",Modernslavery,Modern slavery,"Population's ability to live free from severe exploitation for personal or commercial gain. This can take the forms of human trafficking, forced labour, debt bondage et al. Source: Anti-Slavery",8,16
SOCIALneedsofindividuals,SOCIAL (needs of individuals),INTEGRITYSECURITYOFPERSON,INTEGRITY & SECURITY OF PERSON,"Population’s ability (read as ability of the person) to enjoy freedom from injury to the body and mind; freedom from torture and cruel, inhuman or degrading treatment or punishment; freedom from slavery and servitude; freedom from forced displacement from conflicts or climate change/natural disasters. It also includes data security, data privacy and protection.
Source:
United Nations General Assembly, Universal Declaration of Human Rights,
United Nations Human Rights Committee, United Nations Development
Group ",Childlabour,Child labour,"Population's ability for children to live free from the deprivation of their childhood, their portential and their dignity. It can refer to work that is mentally, physically, socially or morally dangerous and harmful to children; and that interferes with their schooling by: depriving them of the opportunity to attend school; obliging them to leave school prematurely; or requiring them to attempt to combine school attendance with excessively long and heavy work. Source: ILO",8,16
SOCIALneedsofindividuals,SOCIAL (needs of individuals),INTEGRITYSECURITYOFPERSON,INTEGRITY & SECURITY OF PERSON,"Population’s ability (read as ability of the person) to enjoy freedom from injury to the body and mind; freedom from torture and cruel, inhuman or degrading treatment or punishment; freedom from slavery and servitude; freedom from forced displacement from conflicts or climate change/natural disasters. It also includes data security, data privacy and protection.
Source:
United Nations General Assembly, Universal Declaration of Human Rights,
United Nations Human Rights Committee, United Nations Development
Group ",Dataprivacy,Data privacy ,Population's accessibility to the right of personal privacy that people have against the possible use of their personal data by data processors in an unauthorized manner or against the requirements of force. This discipline is to protect the privacy of individuals at risk for the collection and misuse their personal data. Source: OAS,16,
SOCIALneedsofindividuals,SOCIAL (needs of individuals),INTEGRITYSECURITYOFPERSON,INTEGRITY & SECURITY OF PERSON,"Population’s ability (read as ability of the person) to enjoy freedom from injury to the body and mind; freedom from torture and cruel, inhuman or degrading treatment or punishment; freedom from slavery and servitude; freedom from forced displacement from conflicts or climate change/natural disasters. It also includes data security, data privacy and protection.
Source:
United Nations General Assembly, Universal Declaration of Human Rights,
United Nations Human Rights Committee, United Nations Development
Group ",Naturaldisasters,Natural disasters,"Population's ability to live free from the long-standing effects of natural disasters including the displacement of population and worsened living conditions, additionally involving the limitation of natural resources such as drinking water. Source: UNHCR",11,13
SOCIALneedsofindividuals,SOCIAL (needs of individuals),HEALTHSAFETY,HEALTH  & SAFETY,"Populations ability to live in a state of complete physical, mental and social well-being including the aspects of safety and not merely the absence of disease or infirmity. Including the ability to meet various human needs, some of which essential to thrive and feel satisfied with their life. Source: WHO, OECD",,,,3,
SOCIALneedsofindividuals,SOCIAL (needs of individuals),AVAILABILITYACCESSIBILITYAFFORDABILITYQUALITYOFRESOURCESSERVICES,"AVAILABILITY, ACCESSIBILITY, AFFORDABILITY & QUALITY OF RESOURCES & SERVICES","Populations ability to access resources and services that pertain to their individual's needs, this includes the availability, accessibility, affordability, and quality of resources and services.",Water,Water,"Population’s accessibility to sufficient, safe, acceptable and affordable water
for personal, domestic and economic uses. Safe water is water free from
micro-organisms, chemical substances and radiological hazards that constitute
a threat to a person’s health.
International source:
United Nations Office of the High Commissioner for Human Rights
(OHCHR), UN-Water",6,
SOCIALneedsofindividuals,SOCIAL (needs of individuals),AVAILABILITYACCESSIBILITYAFFORDABILITYQUALITYOFRESOURCESSERVICES,"AVAILABILITY, ACCESSIBILITY, AFFORDABILITY & QUALITY OF RESOURCES & SERVICES","Populations ability to access resources and services that pertain to their individual's needs, this includes the availability, accessibility, affordability, and quality of resources and services.",Food,Food,"Population’s accessibility, physical, social and economic, to sufficient, safe and
nutritious food which meets their dietary needs and food preferences for an
active and healthy life.
International source:
Food and Agriculture Organization of the United Nations (FAO)",2,
SOCIALneedsofindividuals,SOCIAL (needs of individuals),AVAILABILITYACCESSIBILITYAFFORDABILITYQUALITYOFRESOURCESSERVICES,"AVAILABILITY, ACCESSIBILITY, AFFORDABILITY & QUALITY OF RESOURCES & SERVICES","Populations ability to access resources and services that pertain to their individual's needs, this includes the availability, accessibility, affordability, and quality of resources and services.",Energy,Energy,"Population’s accessibility to modern energy, to include: household access to a
minimum level of electricity and to safer and more sustainable cooking and
heating systems.
International source:
Organisation for Economic Co-operation and Development (OECD),
International Energy Agency (IEA) ",7,
SOCIALneedsofindividuals,SOCIAL (needs of individuals),AVAILABILITYACCESSIBILITYAFFORDABILITYQUALITYOFRESOURCESSERVICES,"AVAILABILITY, ACCESSIBILITY, AFFORDABILITY & QUALITY OF RESOURCES & SERVICES","Populations ability to access resources and services that pertain to their individual's needs, this includes the availability, accessibility, affordability, and quality of resources and services.",Housing,Housing,"Population’s accessibility to adequate, safe and affordable housing: a place
where to live in security, peace and dignity.
International source:
OHCHR, UN-Habitat",11,
SOCIALneedsofindividuals,SOCIAL (needs of individuals),AVAILABILITYACCESSIBILITYAFFORDABILITYQUALITYOFRESOURCESSERVICES,"AVAILABILITY, ACCESSIBILITY, AFFORDABILITY & QUALITY OF RESOURCES & SERVICES","Populations ability to access resources and services that pertain to their individual's needs, this includes the availability, accessibility, affordability, and quality of resources and services.",Healthcaresanitatation,Healthcare & sanitatation,"Population’s ability to access quality essential health-care services and effective, quality
and affordable essential medicines and vaccines. It also includes sanitation,
which refers to population’s accessibility to facilities and services that ensure
privacy and dignity, ensuring a clean and healthy living environment for all.
International source:
World Health Organization (WHO), UN-Water",3,6
SOCIALneedsofindividuals,SOCIAL (needs of individuals),AVAILABILITYACCESSIBILITYAFFORDABILITYQUALITYOFRESOURCESSERVICES,"AVAILABILITY, ACCESSIBILITY, AFFORDABILITY & QUALITY OF RESOURCES & SERVICES","Populations ability to access resources and services that pertain to their individual's needs, this includes the availability, accessibility, affordability, and quality of resources and services.",Education,Education,"Population’s ability to access quality education and lifelong learning
opportunities in an inclusive and equitable way. This refers to accessibility
for all to elementary education, free and compulsory; and to technical,
professional and higher education, as made available, equally accessible to all
on the basis of merit.
International source:
Universal Declaration of Human Rights; United Nations Educational, Scientific
and Cultural Organisation (UNESCO)",4,
SOCIALneedsofindividuals,SOCIAL (needs of individuals),AVAILABILITYACCESSIBILITYAFFORDABILITYQUALITYOFRESOURCESSERVICES,"AVAILABILITY, ACCESSIBILITY, AFFORDABILITY & QUALITY OF RESOURCES & SERVICES","Populations ability to access resources and services that pertain to their individual's needs, this includes the availability, accessibility, affordability, and quality of resources and services.",Mobility,Mobility,"Population’s accessibility to safe, affordable, inclusive, efficient and sustainable
mobility and transport systems and infrastructure.
International source:
The World Bank",9,11
SOCIALneedsofindividuals,SOCIAL (needs of individuals),AVAILABILITYACCESSIBILITYAFFORDABILITYQUALITYOFRESOURCESSERVICES,"AVAILABILITY, ACCESSIBILITY, AFFORDABILITY & QUALITY OF RESOURCES & SERVICES","Populations ability to access resources and services that pertain to their individual's needs, this includes the availability, accessibility, affordability, and quality of resources and services.",Information,Information,"Population’s accessibility to information and ideas through any media regardless of frontiers. The right to freedom of expression, which includes the right to seek, receive and impart information and ideas of all kinds, regardless of frontiers, through any media, applies to everyone, everywhere, and may only be subject to narrow restrictions. International source: Universal Declaration of Human Rights, UNESCO, United Nations General Assembly, OHCHR",16,
SOCIALneedsofindividuals,SOCIAL (needs of individuals),AVAILABILITYACCESSIBILITYAFFORDABILITYQUALITYOFRESOURCESSERVICES,"AVAILABILITY, ACCESSIBILITY, AFFORDABILITY & QUALITY OF RESOURCES & SERVICES","Populations ability to access resources and services that pertain to their individual's needs, this includes the availability, accessibility, affordability, and quality of resources and services.",Connectivity,Connectivity,"Population's accessibility to universal and affordable information and communications technology. International source: Universal Declaration of Human Rights, UNESCO, United Nations General Assembly",9,
