ESRS_ID,Topic,Sub-Topic_ID,Sub-topic,SubSubTopic_ID,Sub-sub-topics
E1,Climate change,Climatechangeadaptation,Climate change adaptation,,
E1,Climate change,Climatechangemitigation,Climate change mitigation,,
E1,Climate change,Energy,Energy,,
E2,Pollution,Pollutionofair,Pollution of air,,
E2,Pollution,Pollutionofwater,Pollution of water,,
E2,Pollution,Pollutionofsoil,Pollution of soil,,
E2,Pollution,Pollutionoflivingorganismsandfoodresources,Pollution of living organisms and food resources,,
E2,Pollution,Substancesofconcern,Substances of concern,,
E2,Pollution,Substanceofveryhighconcern,Substance of very high concern,,
E2,Pollution,Microplastics,Microplastics,,
E3,Water and marine resources,Water,Water,Waterwithdrawals,Water withdrawals
E3,Water and marine resources,Water,Water,Waterconsumption,Water consumption
E3,Water and marine resources,Water,Water,Wateruse,Water use
E3,Water and marine resources,Water,Water,Waterdischargesinwaterbodiesandintheoceans,Water discharges in waterbodies and in the oceans
E3,Water and marine resources,Marineresources,Marine resources,Extractionanduseofmarineresources,Extraction and use of marine resources
E4,Biodiversity and ecosystems,Directimpactdriversofbiodiversityloss,Direct impact drivers of biodiversity loss,Climatechange,Climate change
E4,Biodiversity and ecosystems,Directimpactdriversofbiodiversityloss,Direct impact drivers of biodiversity loss,Landusechangefreshwaterusechangeandseausechange,"Land-use change, fresh water-use change and sea-use change"
E4,Biodiversity and ecosystems,Directimpactdriversofbiodiversityloss,Direct impact drivers of biodiversity loss,Directexploitation,Direct exploitation
E4,Biodiversity and ecosystems,Directimpactdriversofbiodiversityloss,Direct impact drivers of biodiversity loss,Invasivealienspecies,Invasive alien species
E4,Biodiversity and ecosystems,Directimpactdriversofbiodiversityloss,Direct impact drivers of biodiversity loss,Pollution,Pollution
E4,Biodiversity and ecosystems,Directimpactdriversofbiodiversityloss,Direct impact drivers of biodiversity loss,Others,Others
E4,Biodiversity and ecosystems,Impactsonthestateofspecies,Impacts on the state of species,ExamplesSpeciespopulationsize,"""Examples"" Species population size"
E4,Biodiversity and ecosystems,Impactsonthestateofspecies,Impacts on the state of species,ExamplesSpeciesglobalextinctionrisk,"""Examples"" Species global extinction risk"
E4,Biodiversity and ecosystems,Impactsontheextentandconditionofecosystems,Impacts on the extent and condition of ecosystems,ExamplesLanddegredation,"""Examples"" Land degredation"
E4,Biodiversity and ecosystems,Impactsontheextentandconditionofecosystems,Impacts on the extent and condition of ecosystems,ExamplesDesertification,"""Examples"" Desertification"
E4,Biodiversity and ecosystems,Impactsontheextentandconditionofecosystems,Impacts on the extent and condition of ecosystems,ExamplesSoilsealing,"""Examples"" Soil sealing"
E4,Biodiversity and ecosystems,Impactsanddependenciesonecosystemservices,Impacts and dependencies on ecosystem services,,
E5,Circular economy,Resourcesinflowsincludingresourceuse,"Resources inflows, including resource use",,
E5,Circular economy,Resourceoutflowsrelatedtoproductsandservices,Resource outflows related to products and services,,
E5,Circular economy,Waste,Waste,,
S1,Own workforce,Workingconditions,Working conditions,Secureemployment,Secure employment
S1,Own workforce,Workingconditions,Working conditions,Workingtime,Working time
S1,Own workforce,Workingconditions,Working conditions,Adequatewages,Adequate wages
S1,Own workforce,Workingconditions,Working conditions,Socialdialogue,Social dialogue
S1,Own workforce,Workingconditions,Working conditions,Freedomofassociationtheexistenceofworkscouncilsandtheinformationconsultationandparticipationrightsofworkers,"Freedom of association, the existence of works councils and the information, consultation and participation rights of workers"
S1,Own workforce,Workingconditions,Working conditions,Collectivebargainingincludingrateofworkerscoveredbycollectiveagreements,"Collective bargaining, including rate of workers covered by collective agreements"
S1,Own workforce,Workingconditions,Working conditions,Worklifebalance,Work-life balance
S1,Own workforce,Workingconditions,Working conditions,Healthandsafety,Health and safety
S1,Own workforce,Equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,Genderequalityandequalpayforworkofequalvalue,Gender equality and equal pay for work of equal value
S1,Own workforce,Equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,Trainingandskillsdevelopment,Training and skills development
S1,Own workforce,Equaltreatmentandopportunitiesforall,Equal treatment and opportunities for all,Employmentandinclusionofpersonswithdisabilities,Employment and inclusion of persons with disabilities
